"frame_axle_mount_inset","frame_underbody_length","frame_underbody_width","offload_generator_height","offload_generator_length","offload_generator_width","running_gear_back_mount_inset","running_gear_front_mount_inset","running_gear_drive_gear_radius","running_gear_track_width","running_gear_road_wheel_radius","running_gear_wheel_radius","winch_stowed_width","back_deck_overhang_in","running_gear_contact_patch_area_in2","smet_fcc_length_in","smet_fcc_ctoc_turning_diameter_in"
4,41,37,14.6010217745788,10.5541118397377,14.5739104039967,12,10,2,15,5,13,5.64862535172142,8,862.74,55,159.746395169715
5,87,38,39.1652726731263,35.6534954137169,30.7930596452206,10,19,1,15,2,18,4.03914899821393,5,2267.58,106,216.074922062667
11,76,33,39.9041078914888,15.3724359208718,36.9950544228777,19,17,3,14,5,18,7.16930024488829,8,1432.816,91.1693002448883,174.675919368624
7,110,50,31.0908797779121,27.4448440293781,28.5777976829559,12,8,2,15,2,13,5.42293586558662,5,2880,120.422935865587,263.534967766443
9,127,30,25.1529225637205,37.7290013851598,10.1382808038034,14,17,1,15,2,12,5.49802609416656,5,3227.58,140,239.586577984815
11,120,49,21.6636287607253,14.7669939137995,27.3705530771986,12,7,3,14,5,16,5.05783800198697,1,2664.816,126.057838001987,261.004446261577
4,98,50,31.4044225867838,16.6053392854519,18.2563602481969,11,6,2,15,3,15,4.02080596238375,7,2657.58,109.020805962384,256.12653228104
2,116,58,22.5625885953195,12.8994674282148,18.001496552024,8,20,2,15,4,12,8.2910940295551,6,3275.16,140,299.290795727516
6,131,57,21.6592688928358,29.0309967310168,28.3469095197506,15,9,3,14,4,18,4.14575746143237,9,3292.408,144.145757461432,302.933970460486
13,57,51,28.7497659423389,26.2290228367783,23.8480298966169,18,18,1,15,2,20,4.79112969478592,5,887.58,67,185.27691667458
13,132,44,10.1795181748457,17.5568682164885,36.0612390306778,5,13,2,14,4,13,6.08463934063911,0,2888.816,138.084639340639,260.882360242114
14,60,50,33.3471264876425,15.5548014421947,25.1079143281095,17,17,2,15,5,15,3.83226855914108,3,832.74,66.8322685591411,184.511655922148
14,101,51,36.3845827430487,12.9765476053581,16.7406234610826,18,19,2,15,1,16,5.32132004247978,4,2232.42,110.32132004248,237.135965072399
13,50,36,26.8630979279988,34.680659188889,10.4513256787322,11,5,1,15,3,14,4.4614447618369,0,635.16,54.4614447618369,146.633741941611
7,113,44,30.3142793988809,13.2392425555736,34.8039564746432,7,14,2,14,2,20,5.2600256705191,0,2772,120,252.239185509144
15,131,49,28.1102399737574,14.3248316110112,24.3542641727254,7,14,1,15,5,17,8.52811274584383,0,2860.32,139.528112745844,267.708664004278
1,83,19,30.402293971274,14.5128568587825,10.087241474539,11,11,2,15,1,18,7.97086822870187,10,2472.42,103,183.013879052936
15,63,19,20.8925709221512,14.8420647042803,36.6078748134896,10,18,1,14,2,16,4.00729431770742,0,884.408,67.0072943177074,120.746395169715
13,35,38,24.4944396289065,36.502232211642,19.3651053099893,19,10,3,14,1,12,3.39778549247421,6,331.184,44.3977854924742,129.112653228104
12,68,32,19.274481695611,26.9330703350715,15.4791950760409,6,18,1,14,2,20,8.74660268123262,0,1192.408,76.7466026812326,160.328526892953
11,52,18,31.5480568562634,38.8453638926148,35.3942981688306,13,15,1,14,5,11,4.29105267673731,2,681.632,58.2910526767373,115.042177427013
15,122,46,13.7163406447507,13.1747262156568,16.7610518983565,17,19,2,14,2,16,6.04173636925407,2,2576,130.041736369254,247.596010776174
6,72,44,31.730927429162,39.3227940727957,26.0157601186074,11,7,1,15,1,11,4.73708611004986,5,1800,81.7370861100499,207.084354854027
9,117,23,12.4301538290456,14.3251344212331,27.9474608437158,19,8,1,14,1,14,6.09878534008749,10,2772,133.098785340087,210.239185509144
9,54,29,15.8732123346999,36.3373330468312,15.9986889222637,13,11,2,15,5,17,8.22375256987289,4,952.74,66.2237525698729,147.450612912416
9,76,39,37.1094590052962,32.9648861521855,37.0090063102543,6,20,1,15,4,14,6.00490379519761,0,1612.74,87,194.614876358892
6,86,45,18.137468798086,11.6839850740507,25.5306803900748,18,18,2,14,3,14,7.88928073318675,12,2032.408,110,223.370704319966
8,130,51,29.1006625210866,17.570451439824,22.120718206279,7,19,1,14,2,14,6.35547460056841,0,3152.408,141,284.760274222651
11,93,21,36.1987954494543,22.3274902999401,28.7025153031573,5,18,3,15,2,19,6.04911395604722,0,2172.42,100,174.666486577265
7,69,49,36.4153844350949,27.0329621690325,23.5018371790648,10,6,2,15,5,15,3.28841008339077,3,1522.74,75.2884100833908,210.910658616191
15,60,18,24.1805853205733,13.7322080344893,35.8927934058011,18,7,2,15,4,14,5.31405571312644,3,815.16,68.3140557131264,118.042177427013
1,106,45,18.8180365809239,17.3516430798918,37.0367162465118,5,5,2,14,1,19,7.36670837807469,4,2951.592,117.366708378075,260.412881746979
9,113,26,15.9455431089737,11.8129469407722,15.0566420401447,11,12,3,14,5,11,4.21332469442859,2,2580.816,119.213324694429,211.300228518875
6,70,41,26.0596919362433,26.5786825399846,12.2377576702274,10,5,3,14,5,12,8.39319537277333,4,1544.816,82.3931953727733,195.614876358892
4,131,51,34.572823762428,34.8756845900789,36.1421021563001,16,20,2,14,1,15,4.17777646146715,12,3483.592,159,295.872927450755
14,50,45,19.6175019745715,17.823077768553,13.0990117229521,13,18,1,14,3,14,2.29914120351896,0,536.816,54,159.164263446476
11,76,55,17.3938408424146,15.6152271758765,17.6611156645231,10,12,2,14,3,13,6.74584190687165,0,1472.408,82.7458419068716,218.675919368624
13,108,48,38.4810465108603,11.7561382218264,37.5120297796093,19,19,3,14,1,12,5.64899143739603,6,2375.184,120,239.248618300503
14,60,23,21.0660849721171,35.6265904475003,31.584523813799,20,18,1,14,2,18,8.18612586706877,6,856.408,74.1861258670688,127.511655922148
8,54,36,29.105724261608,30.938498286996,22.0795046258718,16,12,1,15,3,11,5.21282675745897,8,1055.16,67.212826757459,163.92009140755
3,85,50,15.347359739244,18.0101222428493,13.3538161381148,6,9,3,14,1,11,3.40712810913101,3,2291.184,94,239.544400557802
14,50,28,19.9067301256582,32.2978833061643,36.6692873346619,6,8,3,15,1,19,5.16434871871024,0,744.84,55.1643487187102,128.164263446476
4,71,35,24.0357247926295,38.8928447617218,30.885891772341,7,7,3,15,4,14,5.43018691358157,3,1847.58,79.4301869135816,192.788572596728
3,34,56,21.8201590212993,14.8955683549866,38.2953723520041,20,18,1,14,2,13,5.20628975238651,17,744.408,66,188.572698931879
3,126,47,27.1084858686663,32.1998826880008,39.5774912415072,20,17,2,15,5,11,6.24203749001026,17,3472.74,157,287.168709708053
11,60,23,33.5088151949458,10.1732073980384,24.6818467602134,14,19,3,15,1,11,2.89963983069174,3,1224.84,71,137.92009140755
14,117,52,30.8647788409144,24.9832792277448,34.5984351215884,17,10,2,14,1,13,7.91598637984134,3,2531.592,127.915986379841,255.891793033473
4,74,46,16.9035427644849,32.4578948575072,12.0144355506636,13,7,3,15,1,20,3.93487035972066,9,2064.84,86.9348703597207,218.492790339429
11,52,30,12.0208820234984,22.2657892527059,21.3194151152857,20,11,1,14,2,11,8.34738071495667,9,800.408,69.3473807149567,139.042177427013
14,122,25,29.6163996960968,21.4330838155001,15.0348901282996,9,10,1,14,2,12,6.90693947277032,0,2592.408,128.90693947277,208.065489271308
14,131,56,25.4458358185366,17.3566752392799,34.7850749455392,11,5,1,14,3,11,3.52550554601476,0,2804.816,134.525505546015,281.178142499412
5,60,17,19.8979727760889,30.2622022642754,11.301026144065,16,18,2,15,3,14,5.34552695369348,11,1457.58,84,140.736962378356
15,48,27,12.1003614226356,33.9593331096694,36.9739116448909,16,10,3,14,4,20,7.34086029580794,1,464.408,56.3408602958079,118.225306456208
7,36,16,21.1886513000354,38.6853350047022,24.9919959460385,6,20,2,15,1,19,5.2310390137136,0,702.42,49,104.164263446476
15,93,57,29.8471080395393,27.2349779377691,17.2161730565131,13,5,1,14,2,13,4.62991688633338,0,1724.408,97.6299168863334,233.788572596728
4,76,53,39.7956712590531,21.9179217680357,34.3574495520443,10,11,3,15,5,17,8.43109221081249,6,1955.16,90.4310922108125,234.962268834563
12,54,43,38.1489425571635,36.0414722957648,25.4328594869003,12,5,3,15,2,18,7.14436854049563,0,942.42,61.1443685404956,168.042177427013
3,40,35,31.50689965114,16.5133126312867,12.1882071485743,18,11,3,14,1,12,6.57527315150946,15,1031.184,63,153.981134417282
9,128,44,25.9243812039495,30.8782646316104,22.351334139239,6,19,2,15,3,20,5.23465915443376,0,3257.58,138,268.821317232382
8,66,53,23.366496055387,35.8583981124684,25.3918087948114,18,13,1,15,5,14,2.43250908097252,10,1330.32,81,212.736962378356
6,60,41,23.0812758789398,29.7181890183128,23.208945018705,10,12,3,14,4,15,3.37479622708634,4,1304.408,70,183.267483883221
2,85,46,11.8927703192458,22.9139292682521,39.5826173201203,5,9,2,15,5,14,3.67125866585411,3,2302.74,95,237.013879052936
5,112,48,31.459651386831,21.7758634430356,28.1171195185743,5,13,1,15,1,15,2.38167193299159,0,3060,120,266.943403251845
3,51,27,38.25770764146,34.6209729416296,38.6670029582456,15,18,2,14,2,11,6.1961447102949,12,1260,78,151.56326614052
5,127,17,35.3954517911188,12.6367700053379,24.9124202108942,15,20,1,15,3,20,3.19582507223822,10,3425.16,152,223.464491965352
12,86,22,22.3404845269397,32.8149282815866,10.0831745471805,20,18,2,15,4,11,3.14062715182081,8,1775.16,100,165.553833349161
5,50,39,21.6229024832137,20.2555485093035,19.9891446577385,8,19,3,14,2,14,4.35594072774984,3,1159.592,67,169.389569902684
12,89,24,36.3900531223044,11.3079436868429,39.2297449661419,5,17,3,15,4,20,4.02328570885584,0,1907.58,94,173.258051091862
4,35,38,16.8005115026608,32.1919339965098,30.8555598580278,7,19,1,15,3,14,5.71111138211563,3,725.16,53,154.337959684312
5,73,33,23.1026764353737,12.6435987069272,30.0318185030483,7,18,1,14,4,17,3.56807817518711,2,1645.224,88,185.788572596728
9,130,43,15.122329541482,24.1809575678781,23.2556571415626,10,17,3,15,3,20,2.24374229111709,1,3360,139,269.290795727516
10,115,53,18.9336595917121,35.200036407914,37.1733684674837,7,11,1,14,1,13,4.15950322570279,0,2660,119.159503225703,265.300228518875
15,47,42,18.456537949387,29.5350569928996,38.8045636727475,12,15,1,15,1,15,4.40325416950509,0,510,51.4032541695051,149.990567208641
9,114,25,13.4386650542729,25.2822578302585,34.3345150724053,18,20,2,14,4,11,4.73028096789494,9,2608.816,134,210.534967766443
10,70,39,30.5544422566891,27.7482291101478,27.8235070803203,18,16,3,14,4,18,3.63729050708935,8,1360.408,84,181.736962378356
12,43,47,39.4961311668158,32.9784155078232,35.7519264216535,16,12,2,15,2,13,6.11946408753283,4,570,53.1194640875328,162.460045703775
5,54,49,15.9992534364574,30.5164666823111,39.2061020131223,14,7,2,15,2,15,3.52837015362456,9,1320,66.5283701536246,197.328526892953
10,103,16,14.4464178779162,21.467357382644,30.5106540839188,8,20,1,14,2,19,6.30614590621553,0,2284.408,113,176.48335754807
10,102,19,28.9400586974807,23.1388740194961,19.3221502494998,5,16,3,14,5,11,4.74157420033589,0,2216.816,108,181.248618300503
7,73,51,36.5399805037305,37.5890981103294,28.7133239768445,19,7,2,14,4,13,7.63613925781101,12,1572.816,92.636139257811,216.84961560646
8,81,54,20.2412544446997,38.9079327881336,10.1202246476896,6,9,2,15,4,16,4.40072109550238,0,1865.16,85.4007210955024,233.258051091862
12,101,46,10.1014515664428,11.8101968173869,38.826749662403,19,5,2,15,4,18,3.94433768163435,7,2225.16,111.944337681634,232.074922062667
9,42,37,13.5805658623576,14.0697493986227,23.0775703093968,8,5,1,14,2,11,3.07801102148369,0,632.408,45.0780110214837,145.633741941611
10,93,54,10.2062531351112,29.3638799991459,30.7890941179357,12,10,1,15,4,16,2.33906726818532,2,2062.74,97.3390672681853,243.135965072399
11,121,56,30.5834874860011,12.6295004715212,34.2841482930817,14,16,3,14,1,20,2.73296325327829,3,2851.184,129,276.239185509144
7,95,40,36.4153241203167,34.7401439282112,17.9703761520796,16,17,3,14,4,19,7.5572584962938,9,2228.408,114,222.013879052936
11,124,31,30.6461959471926,27.9766521137208,35.4132534796372,18,8,2,15,2,19,6.44796811556444,7,3060,137.447968115564,232.943403251845
15,103,35,13.9919623127207,10.7351234252565,25.3185666981153,16,17,2,14,1,14,6.06529789674096,1,2083.592,110.065297896741,202.135965072399
3,65,41,39.6031705779023,18.6673177592456,32.570737269707,14,13,1,14,4,14,4.78860692935996,11,1533.224,86,196.84961560646
10,54,49,26.5284363972023,38.1219416949898,16.5142224938609,20,15,3,14,5,11,8.97680976707488,10,872.816,72.9768097670749,181.981134417282
10,105,48,22.1869973791763,32.4478714354336,20.5856847413816,11,19,1,14,2,14,2.30264427629299,1,2340.408,115,242.952836043204
9,62,31,25.4261631495319,29.6886741509661,30.5946707748808,13,12,1,15,5,15,7.92020577890798,4,1150.32,73.920205778908,161.328526892953
15,114,26,32.9806478600949,36.8977307830937,15.3343392140232,15,7,1,14,4,16,7.48935508145951,0,2233.224,121.48935508146,197.718096795637
6,50,24,39.6690812264569,11.1876681121066,11.4478851342574,17,15,3,14,2,11,5.79813482728787,11,1103.592,70,136.92009140755
5,49,41,28.3653991040774,30.8825260261074,16.2875977018848,5,20,1,14,4,12,3.74745186488144,0,973.224,64,172.154830655117
14,76,28,10.2957141585648,16.0538538941182,14.4956012372859,13,5,3,15,1,14,8.4946894927416,0,1524.84,84.4946894927416,160.267483883221
11,104,18,14.9462118628435,30.4944058135152,25.3064151457511,6,10,1,14,4,16,2.43146934732795,0,2177.224,106.431469347328,179.248618300503
2,131,50,28.2083625975065,19.5418879040517,11.2584761460312,14,15,2,15,4,11,4.88094921549782,12,3725.16,156,301.811884441023
8,53,34,34.5043281000108,19.0793606848456,16.628181997221,5,15,2,14,1,13,4.7856313737575,0,1075.592,60,155.685352159983
11,98,55,33.2021841523238,17.2691141697578,33.8709847908467,10,13,2,15,2,16,2.05340754799545,0,2280,100.053407547995,248.8401828151
8,113,55,22.6215821760707,14.0797509718686,35.5367149249651,10,15,3,14,2,12,3.92924215877429,2,2755.592,122,271.76970701401
2,89,19,20.2957068709657,36.5478113107383,31.7694170377217,10,20,1,14,3,12,5.56299774162471,8,2300.816,115,184.952836043204
3,109,43,26.6842170571908,11.1526090907864,21.4887973759323,15,19,2,14,3,16,4.62256839661859,12,2844.408,137,255.178142499412
15,120,34,38.6355354217812,24.3913895287551,32.5464642350562,17,5,2,14,3,11,8.77265848009847,2,2480.408,130.772658480098,221.12653228104
7,126,40,19.6978770638816,15.5259655648842,14.1427168203518,9,11,1,14,1,17,6.26116616814397,2,3136,134.261166168144,260.290795727516
12,97,38,13.6793563631363,29.3959401571192,32.3948427662253,13,13,2,14,2,12,2.79266275558621,1,2044,100.792662755586,208.135965072399
10,104,55,33.2907028472982,26.6770093748346,23.0677254218608,17,16,1,14,3,12,2.91525995335542,7,2272.816,117,255.718096795637
5,81,21,26.572107670363,31.0743284109049,28.5913381096907,15,8,3,15,4,14,5.11247821617872,10,2087.58,96.1124782161787,174.666486577265
7,47,58,32.5060490658507,28.6968902009539,10.1722047408111,14,14,2,14,1,11,6.03671347978525,7,963.592,61,198.746395169715
14,93,37,29.8287565889768,14.1718860110268,13.6374567309394,13,8,2,15,5,17,2.54543283092789,0,1822.74,95.5454328309279,199.258051091862
8,69,32,24.4722507614642,39.726769507397,26.4402898028493,14,19,3,14,4,20,5.21411624224856,6,1444.408,86,171.441180121057
15,101,22,21.2979197246023,13.1825144425966,28.4702661912888,12,13,2,14,4,11,4.02933507179841,0,1908.816,105.029335071798,173.666486577265
1,39,44,32.8615663084202,30.886282089632,27.460456546396,7,18,2,15,2,16,6.09567760163918,6,1110,62,178.685352159983
12,115,25,22.885510425549,31.5069338353351,17.5495045538992,12,16,2,15,3,14,4.46017826069146,0,2687.58,119.460178260691,207.361271528607
14,110,50,21.5191897866316,12.0492816576734,31.5495627140626,17,19,3,15,5,12,8.72782400739379,3,2375.16,121.727824007394,246.248618300503
8,56,42,39.4118712190539,28.8588478136808,25.0336425914429,17,20,2,15,3,12,5.0037085977383,9,1157.58,77,178.389569902684
15,91,22,23.6746044293977,28.9516607113183,33.0565298302099,10,8,3,15,1,17,6.0350580397062,0,1914.84,97.0350580397062,164.319094101594
6,101,30,33.4187331353314,22.2583213541657,35.2924030320719,12,11,3,14,1,19,2.81729270634241,6,2571.184,112,211.891793033473
10,42,36,23.6133386404254,22.4303804524243,34.0141769079491,17,12,1,14,2,17,3.65112167852931,7,576.408,52.6511216785293,141.164263446476
3,57,18,17.0643798145466,29.06336463755,26.9583207066171,5,9,1,15,2,19,3.93981014983729,2,1487.58,65,143.971701625923
6,46,29,16.457096177619,29.912768593058,32.1623662952334,11,12,3,15,2,17,2.30848881066777,5,1062.42,57,144.981134417282
10,124,25,13.6421823361889,14.2861383850686,12.5549899972975,11,17,1,15,2,15,8.84726152778603,1,3077.58,133.847261527786,223.412881746979
6,84,25,19.6961141051725,25.051153358072,39.7916385228746,11,18,2,14,3,18,3.32201145077124,5,1976.408,101,180.901225824832
8,43,29,35.3062217659317,15.3109720465727,14.4250219524838,9,20,3,14,1,19,4.17088390095159,1,835.184,56,133.337959684312
11,49,19,32.0017239567824,36.4854805101641,17.6965323626064,9,19,1,14,1,16,5.93019983265549,0,756,57,113.337959684312
3,63,49,26.6985097527504,35.0296445190907,17.6979264686815,16,19,2,14,2,18,4.70254608849064,13,1596,92,210.380137111325
4,51,53,20.1781234727241,24.1595748788677,13.0365743255243,13,16,1,15,4,19,8.45722399652004,9,1162.74,72,204.093787645386
1,111,27,39.9889099039137,14.1965739917941,11.4915211335756,15,14,2,14,1,18,8.67972028488293,14,3091.592,138,230.586577984815
10,78,21,20.7697321265005,25.6342379027046,23.0838505341671,6,8,1,14,3,15,4.24196484289132,0,1544.816,82.2419648428913,155.614876358892
14,75,41,12.6065910188481,36.3679876574315,31.4765521185473,11,15,1,14,3,19,4.60046362015419,0,1236.816,79.6004636201542,182.032744635654
2,126,47,22.4204882211052,22.8050832077861,38.2540830341168,15,13,3,14,5,18,5.24603973841295,13,3336.816,150,286.638188203187
12,126,53,17.6196396257728,19.6835241164081,22.9785814438947,19,15,2,15,4,11,6.80760356783867,7,2975.16,139.807603567839,276.943403251845
15,46,29,10.0584394601174,30.7894212496467,34.4253486883827,5,7,1,15,2,14,2.17800534307025,0,437.58,48.1780053430703,122.755827961074
12,127,35,12.9003379237838,20.2779326192103,10.4179704817943,16,13,2,14,2,11,3.68765562982298,4,2884,134.687655629823,239.178142499412
13,47,17,24.3788601900451,30.806153176818,18.0786729953252,15,7,3,15,2,13,5.72224504919723,2,672.42,54.7222450491972,104.929524198909
12,96,25,12.0876160543412,16.4687788113952,23.7398443091661,6,17,1,15,3,19,8.99964629602619,0,2075.16,104.999646296026,183.901225824832
5,121,19,21.8591443775222,17.5639225449413,14.5351426210254,15,9,3,15,3,19,3.76847803010605,10,3330,135,220.056056479949
10,63,30,32.2044649557211,37.6542290602811,30.8150603878312,8,5,2,15,1,12,2.36193844536319,0,1332.42,65.3619384453632,158.093787645386
4,92,37,29.4283172488213,22.8223295952193,34.7282282006927,15,13,3,14,4,18,5.53390365396626,11,2312.408,112,219.718096795637
4,50,21,16.1302852351218,20.2799877501093,37.1513931779191,6,7,3,14,1,17,5.46053821896203,2,1255.184,57.460538218962,135.859048397819
9,61,52,37.5457848631777,18.6907460307702,19.8419324611314,15,7,2,15,2,17,6.09608455654234,6,1290,73.0960845565423,202.093787645386
10,123,49,36.771813922096,29.3597894976847,11.0311394650489,19,17,3,15,5,13,4.74063085066155,9,3005.16,139,270.178142499412
11,85,54,39.7304584248923,19.3404848384671,12.9949183552526,20,8,2,15,4,20,7.30857429467142,9,1805.16,101.308574294671,230.788572596728
15,108,26,34.6734394156374,13.2235670485534,25.2945574629121,8,19,3,15,2,16,3.22477066586725,0,2382.42,112,193.309661310235
14,94,16,26.28960698843,22.0133265736513,16.9266689522192,8,14,1,14,2,16,4.58628632174805,0,1808.408,98.586286321748,155.492790339429
7,122,32,39.1238412261009,15.5697333277203,37.499546862673,10,10,2,14,5,16,4.31288982788101,3,2905.224,129.312889827881,239.351838737248
5,90,50,39.2731132614426,37.1619006339461,10.5457611801103,14,8,2,15,1,13,4.96638599224389,9,2442.42,103.966385992244,243.779139805369
7,84,17,12.7217493369244,27.2763517731801,23.9062558556907,9,14,1,15,3,11,7.6290073802229,2,2015.16,93.6290073802229,165.431747329698
9,73,16,18.0587492953055,17.6799003896303,37.5929929921404,6,13,1,14,1,17,2.90521530876867,0,1540,77,141.910658616191
12,89,22,18.3558321557939,33.6382845649496,33.8957129069604,13,16,2,14,1,12,2.42704234248959,1,1859.592,94,166.258051091862
1,118,48,16.0215061111376,22.0545747433789,14.6202310780063,9,12,2,14,2,14,5.44228826346807,8,3248,137,281.229752717785
2,96,21,39.100524217356,14.550066026859,25.5940456013195,10,14,1,14,5,20,7.36645047785714,8,2417.632,116,197.596010776174
8,111,25,22.2002795385197,20.9796583652496,10.3887468506582,16,8,3,14,1,19,5.87949402490631,8,2739.184,124.879494024906,209.300228518875
10,114,44,10.7248083688319,16.2387973675504,10.1239539380185,20,13,1,14,1,13,2.94340866385028,10,2632,127,246.065489271308
5,96,35,39.4795563374646,13.0475527187809,23.2456683856435,11,8,3,14,1,11,3.14360608765855,6,2487.184,105.143606087659,218.187575290771
7,52,43,12.1508097788319,33.4213985106908,20.7829745975323,10,17,3,14,1,17,7.49742497107945,3,1143.184,65,174.92009140755
14,77,43,25.244324633386,26.0373913729563,35.1357584702782,18,19,2,15,5,12,4.10350790875964,4,1342.74,86,191.502223130788
2,117,29,11.3098723837174,33.81353167817,14.9928082316183,10,11,2,14,2,19,6.02520137140527,8,3164,134,239.525534975083
1,82,19,24.2372569744475,14.4819777738303,21.8823587917723,19,17,3,14,4,18,8.1702868049033,18,2200.408,116,178.779139805369
7,55,50,26.2819330347702,27.6499084569514,33.0689974292181,12,10,2,14,2,19,5.15201293141581,5,1148,65.1520129314158,192.624309150252
10,59,43,19.0353144821711,24.9444429855794,30.1230893610045,19,11,2,14,2,13,7.26209684670903,9,1092,75.262096846709,176.154830655117
1,93,51,21.3539690361358,33.5684881848283,31.5665782080032,12,15,1,15,1,11,5.27221988234669,11,2730,118,259.361271528607
4,111,17,28.2269166107289,31.8526076502167,28.7016457645223,16,8,1,14,2,19,5.7532376719173,12,2844.408,128.753237671917,203.178142499412
2,109,30,23.6813365994021,14.3932674615644,27.1508000069298,18,9,1,14,4,16,6.42861161055043,16,2821.224,132,231.647620994547
11,105,44,20.9433165076189,20.6456337752752,29.5337979402393,8,16,2,14,5,12,6.68521416978911,0,2205.224,111.685214169789,232.48335754807
14,109,30,27.4865584005602,29.9176305648871,29.096454763785,8,8,2,14,1,12,3.10779881197959,0,2307.592,112.10779881198,202.013879052936
